track_id,track_name,artist_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,streaming_count
7wAkQFShJ27V8362MqevQr,"So Long, London",Taylor Swift,74,0.423,0.533,9,-11.388,1,0.322,0.73,0.00264,0.0816,0.248,160.218,262975,4,750000
4POLSyF3Vr8ZP14AKyCAXf,Boogieman,EBK Jaaybo,68,0.723,0.544,5,-8.164,0,0.485,0.664,0,0.573,0.67,90.19,131292,3,720000
6x59lSlNU7TvsJZy7134uC,ROSONES,Fuerza Regida,0,0.752,0.871,6,-4.387,1,0.029,0.164,0,0.296,0.827,119.997,178080,3,690000
2n77I4OjzHdgL3La34c3PJ,Pura Adrenalina,LOS DOS DE TAMAULIPAS,72,0.671,0.793,9,-3.245,0,0.0634,0.0607,1.79E-06,0.138,0.723,103.631,157570,4,690000
4iHYQwgtrY26p2uQG8Nstr,Blink Gone (VIVINOS - ALNST Original Soundtrack Part.8),BL8M,75,0.652,0.746,8,-3.085,1,0.179,0.0217,0,0.0907,0.693,124.948,188992,4,700000
1zUqoSVqUE2O5x3MJ0mHz9,Thorns,$uicideboy$,70,0.83,0.695,11,-4.483,0,0.277,0.192,6.22E-05,0.103,0.37,159.946,130500,4,790000
4QMgEffJQuKtjCNvqfRZ0m,But Daddy I Love Him,Taylor Swift,73,0.521,0.72,4,-7.684,1,0.104,0.384,0,0.135,0.438,79.943,340428,4,730000
3hlGuz3loYoLfI3bpwieWq,I Hate It Here,Taylor Swift,72,0.485,0.562,2,-7.197,1,0.0346,0.717,0,0.357,0.297,105.953,243876,4,680000
6YVajR33kCWLhWpMVD8AGD,Calling After Me,Wallows,71,0.636,0.797,8,-4.644,1,0.0296,0.00598,4.26E-06,0.114,0.965,139.963,187693,4,690000
4IxLiee2AV2V84fvVnHdUn,5AM,Lil Baby,29,0.593,0.466,11,-8.471,0,0.272,0.0253,0,0.219,0.483,169.925,102038,4,680000
6855tCz8JbJ5pLkA88UMXK,Insecurities,Lil Baby,0,0.652,0.652,2,-5.394,1,0.0372,0.00381,0,0.0928,0.197,111.945,127154,4,690000
72pjcmoE6vBby9gb1ZPvdF,5AM,Lil Baby,57,0.665,0.498,11,-8.331,0,0.21,0.0311,0,0.225,0.555,84.952,102038,4,700000
6afQ4fJDJ9QqU5BKIH99Ej,Insecurities,Lil Baby,0,0.65,0.642,2,-5.332,1,0.04,0.00502,0,0.0855,0.186,111.907,127154,4,690000
1aHy1ipWQRNauI0ee9uYfi,Fall Back,Lithe,79,0.871,0.158,3,-10.889,0,0.102,0.648,0.0363,0.113,0.46,126.078,129524,4,730000
3AoEQRuFf8zVXWqSLo2UOi,CRAZY,LE SSERAFIM,78,0.802,0.899,11,-2.223,0,0.126,0.00953,0.000291,0.101,0.531,130.047,164554,4,710000
3eh51r6rFWAlGQRlHx9QnQ,Push Ups,Drake,73,0.598,0.696,2,-4.789,1,0.112,0.0153,0,0.219,0.209,91.057,232774,4,700000
60lAoxcyDvRbcNY82VEoEA,Beckham,Dee Billz,72,0.721,0.84,1,-4.994,0,0.324,0.0904,0,0.173,0.427,146.223,124931,4,790000
0Xw2qqQDAm2uDJZI02UDix,Thoughts of You,Ole 60,67,0.547,0.294,9,-8.501,1,0.0281,0.613,2.47E-06,0.108,0.167,122.982,172125,4,700000
5Hh2VJj7bOWGsN0Jw6smwt,Two Faced,Linkin Park,69,0.51,0.945,1,-5.405,1,0.0807,0.000658,4.80E-06,0.0413,0.323,91.906,183584,4,720000
4gxEY3Mh5FZZDAJAKPNrCS,CRAZY,LE SSERAFIM,80,0.802,0.899,11,-2.223,0,0.126,0.00953,0.000291,0.101,0.531,130.047,164554,4,830000
1R4g4jxHARgfesI2g9H59g,Arriadin por Tu - Ao Vivo,Zé Vaqueiro,73,0.596,0.954,2,-0.494,0,0.0583,0.684,2.21E-06,0.455,0.675,139.891,161798,4,680000
5ocSQW5sIUIOFojwXEz9Ki,Supernatural,NewJeans,78,0.699,0.708,10,-4.182,0,0.0496,0.185,8.43E-06,0.0921,0.863,108.887,191000,4,780000
1s0B0dkZHfynScpLO0UzJX,I'm Still Fine,The Red Clay Strays,68,0.555,0.399,4,-7.838,1,0.0298,0.66,0,0.0853,0.296,140.738,232553,4,800000
7hr0WyhqQxrK3SQ9ZQxjTu,Awaken,Breaking Benjamin,71,0.425,0.961,5,-2.85,1,0.0717,0.000207,0,0.329,0.348,96.971,218003,4,680000
492ceDtqmafb6QD1Xfhpmo,Like a Prayer - Choir Version From “Deadpool & Wolverine”,I'll Take You There Choir,77,0.244,0.273,2,-13.875,0,0.0351,0.848,0.499,0.124,0.104,116.076,152893,4,770000
6WEXy56jM0Nl3bZHY9l7aH,Tough Love,Gracie Abrams,72,0.554,0.716,0,-4.334,1,0.0717,0.37,0,0.0919,0.664,89.873,169147,4,770000
